topic_id,headline_topic,news_outlet,url
9,Malaysia regrets Norway’s missile export permit denial,The Strait Times,https://www.straitstimes.com/asia/se-asia/malaysia-shocked-that-norway-blocked-missile-delivery-for-navy-ships-says-defence-minister
9,Malaysia regrets Norway’s missile export permit denial,The Star,https://www.thestar.com.my/news/nation/2026/05/13/malaysia-weighs-legal-diplomatic-response-to-norway-missile-export-halt-says-fahmi
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/13/najib-granted-stay-on-us13b-src-payment-order-pending-appeal/219825
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/13/najib-gets-stay-of-srcs-us1-3bil-judgment
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,NST,https://www.nst.com.my/news/nation/2026/05/1438711/najib-obtains-stay-execution-us118bil-src-judgment-watch
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,The Edge Malaysia,https://theedgemalaysia.com/node/803429
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,Bernama,https://bernama.com/en/crime_courts/news.php?id=2556575
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,The Sun Malaysia,https://thesun.my/news/malaysia-news/courts/najib-secures-stay-on-rm1-3-billion-payment-to-src-pending-appeal/
10,Najib secures stay on RM1.3 billion payment to SRC pending appeal,The Star,https://www.thestar.com.my/news/nation/2026/05/13/najib-secures-stay-on-us13bil-payment-to-src-pending-appeal
11,Azam Baki Retires As MACC Chief,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/12/azam-baki-bids-farewell-to-macc-deeply-moved-by-officers-and-familys-support/219706
11,Azam Baki Retires As MACC Chief,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/12/azam-baki-clocks-out-after-turbulent-tenure-as-macc-chief
11,Azam Baki Retires As MACC Chief,NST,https://www.nst.com.my/news/nation/2026/05/1438031/azam-baki-reflects-family-sacrifice-he-ends-42-year-macc-career-watch
11,Azam Baki Retires As MACC Chief,The Edge Malaysia,https://theedgemalaysia.com/node/803132
11,Azam Baki Retires As MACC Chief,Bernama,https://bernama.com/en/news.php/general/news.php?id=2556127
11,Azam Baki Retires As MACC Chief,The Sun Malaysia,https://thesun.my/news/i-will-serve-until-my-last-breath-says-outgoing-macc-chief/
11,Azam Baki Retires As MACC Chief,The Strait Times,https://www.straitstimes.com/asia/se-asia/a-film-a-farewell-and-unfinished-cases-what-azam-baki-leaves-behind-at-malaysias-anti-graft-agency?ref=top-stories
11,Azam Baki Retires As MACC Chief,The Star,https://www.thestar.com.my/news/nation/2026/05/12/azam-baki-clocks-out-of-macc-hq-for-last-time-as-he-ends-tenure
12,Malaysia will not consider any pardon for Jho Low,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/16/malaysia-will-not-consider-any-pardon-for-jho-low-says-anwar/220208
12,Malaysia will not consider any pardon for Jho Low,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/15/govt-wont-oppose-jho-lows-pardon-bid-says-anwar
12,Malaysia will not consider any pardon for Jho Low,NST,https://www.nst.com.my/news/nation/2026/05/1440989/anwar-clarifies-stance-jho-low-pardon-issue?source=widget
12,Malaysia will not consider any pardon for Jho Low,The Edge Malaysia,https://theedgemalaysia.com/node/803732
12,Malaysia will not consider any pardon for Jho Low,Bernama,https://www.bernama.com/en/general/news.php?id=2557963
12,Malaysia will not consider any pardon for Jho Low,The Strait Times,https://www.straitstimes.com/asia/se-asia/malaysia-will-not-support-or-pursue-any-pardon-for-jho-low-pm-anwar-says
12,Malaysia will not consider any pardon for Jho Low,The Rakyat Post,https://www.therakyatpost.com/news/2026/05/15/pmx-malaysia-will-not-interfere-in-jho-lows-us-pardon-bid/#gsc.tab=0
12,Malaysia will not consider any pardon for Jho Low,The Star,https://www.thestar.com.my/news/nation/2026/05/17/pm-no-pardon-for-jho-low
13,Appeal High Court ruling on nicotine vape exemption,Malay Mail,https://www.malaymail.com/news/malaysia/2026/05/16/moh-to-appeal-high-court-ruling-on-nicotine-vape-exemption-says-dr-zaliha/220211
13,Appeal High Court ruling on nicotine vape exemption,Free Malaysia Today,https://www.freemalaysiatoday.com/category/nation/2026/05/16/govt-to-appeal-against-ruling-on-nicotine-exemption-says-former-minister
13,Appeal High Court ruling on nicotine vape exemption,NST,https://www.nst.com.my/news/nation/2026/05/1440282/court-finds-nicotine-vape-removal-poisons-list-irrational-watch
13,Appeal High Court ruling on nicotine vape exemption,The Edge Malaysia,https://theedgemalaysia.com/node/803855
13,Appeal High Court ruling on nicotine vape exemption,Bernama,https://bernama.com/en/region/news.php?id=2557952
13,Appeal High Court ruling on nicotine vape exemption,The Sun Malaysia,https://thesun.my/news/malaysia-news/courts/moh-high-court-ruling-nicotine-vape-exemption/
